resource_type,status,access,assetIdentifier,digitizationNomination,dispositionNomination,identifier2,identifierSource2,physicalFormat,condition,generations,durationPhysical,channelConfigurationPhysical,originalCarrierLocation,date,dateType,language,itemTitle,intellectualAssetType,epsIdentifier,programName,description,genre,contributor,publisher,rightsSummary,rightsStatement,subject,relatedInstantiationID,proxyFilename,preservationFilename,filelocation,dateDigitized,filesize,channelConfigurationDigital,encoding,sampleRate,bitDepth,durationDigital,instantiationTimeStart,digitalQC,checksumString,checksumType,coverageSpatial,coverageTemporal,ancillaryMaterials
4,0,0,MD-001d1,digitized in house,,,,Minidisc,,,00:32:44,Stereo,KBOO Archives Room,2001-10-15,unknown,,Ehud Barak at Arlene Schnitzer Concert Hall,,eps00095,,"Second Annual International Speaker Series #1 Press Conference with Ehud Barak. A press conference held by the World Affairs Council of Oregon featuring Former Israeli Prime Minister Ehud Barak. Barak Speaks about the Middle East, ways of containing terrorism, his personal experience fighting terrorism and how America is leading the fight against terrorism. ",,Ehud Barak,KBOO,Saleable,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution “From KBOO Community Radio, Portland”. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",War/Peace,,,kboo_MD-001d1_20011015.wav,S:\Staff\Analog Archive Project\_final\minidisc,,331 MB,stereo,wav,44.1 kHz,16 bits,00:32:44,,,D63058568855B3EA3ADD0CAB3AA517B7,md5,"Middle East, Israel",,
4,0,0,MD-001d2,digitized in house,,,,Minidisc,,,01:10:08,Stereo,KBOO Archives Room,2001-10-15,unknown,,Ehud Barak at Arlene Schnitzer Concert Hall,,eps00095,,"Jeff Merkley, Ron Ragan, and other members of the World Affairs Council of Oregon introduce speaker Ehud Barak, the former Israeli prime minister who speaks at the Arlene Schnitzer Concert Hall in Portland, Oregon. Introductory speakers mention the security concerns that arose for the event as well as protests outside the event. Barak was the first speaker in the Council's Second Annual International Speaker Series. Barak speaks on his experience as prime minister of Israel and addresses the issue of terrorism, peace, and war.",,,KBOO,Saleable,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution “From KBOO Community Radio, Portland”. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",War/Peace,,,kboo_MD-001d2_20011015.wav,S:\Staff\Analog Archive Project\_final\minidisc,,708 MB,stereo,wav,44.1 kHz,16 bits,01:10:08,,,79E86877AA5746F96E9398344DF600C4,md5,"Middle East, Israel, Palestine",,
4,0,0,MD-001d3,digitized in house,,,,Minidisc,,,00:27:03,Stereo,KBOO Archives Room,2001-10-15,unknown,,Ehud Barak at Arlene Schnitzer Concert Hall,,eps00095,,"The audio begins with two unidentifiable previous recordings unrelated to the titled recording of former Israeli Prime Minister Ehud Barak's. The recording is the Q&A following a speech organized by the World Affairs Council of Oregon. Barak responds to questions regarding terrorism, Israeli settlements in Palestine, the war in Afghanistan, Israeli soldiers response to Palestinian youth resistance, the potential for peace between Israel and Palestine, ",,Ehud Barak,KBOO,Saleable,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution “From KBOO Community Radio, Portland”. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",War/Peace,,,kboo_MD-001d3_20011015.wav,S:\Staff\Analog Archive Project\_final\minidisc,,273 MB,stereo,wav,44.1 kHz,16 bits,00:27:03,,,FADE2B92CFCF9EEBAF5702B4593A4EB4,md5,"Middle East, Israel, Palestine",,
4,0,0,MD-002,digitized in house,,,,Minidisc,,,00:27:56,Stereo,KBOO Archives Room,,unknown,,"Why Do They Hate Us?: An Interview with Kennedy Moorhead, former State Department Officer",,eps00096,,"Interview with former U.S. State Department officer Kennedy Moorhead. Moorhead was one of the hostages of the 1979 - 1981 Iranian hostage crisis. He discusses the history and legacy of U.S. foreign policy in the Middle East. He responds to the conclusions of Samuel P. Huntington in his Clash of Civilizations, discusses the U.S. war in Afghanistan, and the future of the Middle East.",,"Moorhead C. Kennedy, Jr.",KBOO,Saleable,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution “From KBOO Community Radio, Portland”. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.","War/Peace, Faith/Religion/Spirituality",,,kboo_MD-002.wav,S:\Staff\Analog Archive Project\_final\minidisc,,282 MB,stereo,wav,44.1 kHz,16 bits,00:27:56,,,49B6846CDCCD6573876A52482D82257D,md5,"Iran, Afghanistan, Middle East",1979 - 1981,
4,0,0,MD-003,digitized in house,,,,Minidisc,,,00:59:59,Stereo,KBOO Archives Room,2001-02-15,unknown,,A Writer's Place in Politics,,eps00097,,"Audio begins with 40 seconds of a sound check and cuts out for 15 seconds. An Alternative Radio advertisement interrupts the speech. Alternative Radio airs an edited recorded speech of Arundhati Roy at Hampshire College's Eqbal Ahmad Lecture Series on 2001-02-15. Roy discusses the effect of globalization on Indian people, ENRON, the WTO, and being labeled as as ""writer/activist."" She advocates for a new global politics of resistance.",,Arundhati Roy,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,"Arts/Culture, Government/Politics, Global Affairs",,,kboo_MD-003_20010215.wav,S:\Staff\Analog Archive Project\_final\minidisc,,606 MB,stereo,wav,44.1 kHz,16 bits,00:59:59,,,E4603C42DC288F84D665BEE29421A400,md5,"India, Asia,",,
4,0,0,MD-004,digitized in house,,,,Minidisc,,,00:58:43,Stereo,KBOO Archives Room,2001-10-19,unknown,,The Missing Elements of Middle East U.S. Policy,,eps00098,,"Audio begins with 40 seconds of a sound check. An Alternative Radio advertisement interrupts the speech. Alternative Radio airs an edited recorded speech of Stephen Zunes in Eugene, Oregon. Zunes discusses the history of U.S. Middle East policy, militarization, as well as terrorism attacks directed at the West. He addresses topics of arms sales, democracy, and human rights in the region.",,Stephen Zunes,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,"Global Affairs, War/Peace, Government/Politics, Civil Rights/Human Rights",,,kboo_MD-004_20011019.wav,S:\Staff\Analog Archive Project\_final\minidisc,,593 MB,stereo,wav,44.1 kHz,16 bits,00:58:43,,,D25AA9E86C571AE6F95796CE7B074E9D,md5,"Israel, Palestine, Saudi Arabia, Iraq, Afghanistan, Middle East",,
4,0,0,MD-005,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,Big Brother is Watching,,eps00099,,,,Ward Churchill,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,Law/Court/Crime,,,,,,,,,,,,,,,,United States,,
4,0,0,MD-006,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,"John Robbins, author of The Food Revolution",,eps00100,,,,,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,Agriculture,,,,,,,,,,,,,,,,,,
4,0,0,MD-007,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,Roots of the Gulf Crisis,,eps00005,,,,Eqbal Ahmad,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,Global Affairs ,10-0228,,,,,,,,,,,,,,,Middle East,,
4,0,0,MD-008,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,Liquid Assets Water for the Highest Bidder,,eps00101,,,,"Vandana Shiva, Maude Barlow, Tony Clarke",Alternative Radio,Non-Saleable,This is an Alternative Radio program.,Energy/Natural Resources ,,,,,,,,,,,,,,,,,,
4,0,0,MD-009d1,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,The Artist in the Time of War,,eps00102,,,,Howard Zinn,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,"Arts/Culture, War/Peace",,,,,,,,,,,,,,,,,,
